Player,Rook_Age,Rook_FG_Percent,Rook_3P_Percent,Rook_FT_Percent,Rook_MPG,Rook_PPG,Rook_RPG,Rook_APG,-9999,Rook_Year,WS_Rk,WS,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_Percent,2P_Percent,3P_Percent,FT_Percent,TS_Percent,eFG_Percent,Pos,Team,ORtg,DRtg,OWS,DWS,WS_Per_48,OBPM,DBPM,BPM,VORP,PER,ORB_Percent,DRB_Percent,TRB_Percent,AST_Percent,STL_Percent,BLK_Percent,TOV_Percent,USG_Percent
Josh Childress,21,0.47,0.232,0.823,29.7,10.1,6,1.9,childjo01,2005,298,25.7,2004-05,2013-14,21-30,391,70,26.7,3.4,6.6,3.2,5.8,0.3,0.8,2,2.5,1.9,2.9,4.7,1.6,0.9,0.5,1.1,1.9,9.1,0.522,0.548,0.329,0.779,0.591,0.542,G-F,ATLBRKNOPPHO,118,110,19.7,6,0.118,1.1,-0.3,0.8,7.4,15.6,8.1,12.9,10.4,9.5,1.7,1.3,12.8,15
Nick Collison,24,0.537,0,0.703,17,5.6,4.6,0.4,collini01,2005,143,44.5,2004-05,2017-18,24-37,910,177,20.4,2.4,4.6,2.4,4.4,0,0.1,1,1.4,1.9,3.2,5.2,1,0.5,0.5,1,2.8,5.9,0.534,0.542,0.208,0.723,0.57,0.536,F,OKCSEA,115,107,26.4,18.1,0.115,-1.4,0.1,-1.3,3.1,13.2,11.1,17.9,14.5,7.6,1.2,1.9,15.7,13.4
Erik Daniels,22,0.333,0.5,0,3.4,0.6,0.9,0.2,danieer01,2005,1819,-0.1,2004-05,2004-05,22-22,21,0,3.4,0.3,0.9,0.2,0.8,0,0.1,0,0,0.3,0.5,0.9,0.2,0.1,0,0.3,0.3,0.6,0.333,0.313,0.5,,0.361,0.361,F,SAC,77,109,-0.1,0.1,-0.061,-6.1,-1.5,-7.6,-0.1,4.6,10.9,17.1,14,7.7,1.4,0,25,14.8
Carlos Delfino,22,0.359,0.257,0.575,15.3,3.9,1.8,1.3,delfica01,2005,343,22.5,2004-05,2012-13,22-30,507,170,22.8,2.9,7.2,1.6,3.6,1.3,3.7,1,1.3,0.6,3,3.6,1.7,0.9,0.2,1,1.6,8.1,0.401,0.438,0.365,0.758,0.52,0.494,G,DETHOUMILTOR,104,104,7.1,15.4,0.093,-0.5,0.9,0.5,7.2,12.6,2.9,15.5,9.1,12.1,2.1,0.6,11.4,17.7
Luol Deng,19,0.434,0.265,0.741,27.3,11.7,5.3,2.2,denglu01,2005,50,74,2004-05,2018-19,19-33,902,828,34.3,5.7,12.5,5,10.3,0.7,2.2,2.7,3.5,1.6,4.4,6.1,2.3,1,0.5,1.6,1.7,14.8,0.456,0.482,0.332,0.769,0.528,0.485,F,CHICLELALMIAMIN,107,105,34.8,39.2,0.115,0.7,0.2,0.9,22.9,15.4,5.4,14.6,10.1,11.2,1.5,1.1,10.3,20.6
Chris Duhon,22,0.352,0.355,0.731,26.5,5.9,2.6,4.9,duhonch01,2005,309,25,2004-05,2012-13,22-30,606,319,25.6,2.2,5.7,1.2,2.7,1.1,3,1,1.2,0.3,1.9,2.3,4.4,0.8,0.1,1.5,1.6,6.5,0.393,0.426,0.363,0.784,0.523,0.488,G,CHILALNYKORL,107,108,11.6,13.5,0.077,-1.3,0.1,-1.2,3.2,10.8,1.4,8.5,5,25.7,1.6,0.2,19.7,13.5
Corsley Edwards,25,0.323,0,0.583,11,2.7,2.5,0.3,edwarco01,2005,1533,0.1,2004-05,2004-05,25-25,10,0,11,1,3.1,1,3.1,0,0,0.7,1.2,1.2,1.3,2.5,0.3,0.3,0.4,0.2,1.9,2.7,0.323,0.323,,0.583,0.372,0.323,F,NOH,93,107,0,0.1,0.026,-4.9,-1.4,-6.2,-0.1,8.6,12.4,14.6,13.5,4.6,1.5,2.9,5.2,16.2
John Edwards,23,0.367,0,0.5,5.6,1.2,0.8,0.1,edwarjo01,2005,1534,0.1,2004-05,2005-06,23-24,65,5,6.7,0.6,1.4,0.6,1.4,0,0,0.2,0.4,0.4,0.6,1,0.1,0.1,0.3,0.3,1.4,1.5,0.447,0.447,,0.6,0.471,0.447,C,ATLIND,93,110,-0.2,0.2,0.007,-6.2,-0.7,-6.9,-0.5,6,7.1,11.5,9.2,3,0.7,3.3,16,13.3
Andre Emmett,22,0.333,0,0.6,3.5,0.9,0.3,0,emmetan01,2005,1532,0.1,2004-05,2011-12,22-29,14,0,5.2,0.4,0.9,0.4,0.9,0,0.1,0.6,0.9,0.1,0.4,0.6,0.1,0.1,0.1,0.2,0.4,1.4,0.462,0.5,0,0.615,0.534,0.462,F,MEMNJN,101,109,0,0,0.04,-4.1,-1.4,-5.5,-0.1,8.5,3.1,9.8,6.4,2.2,1.5,1.1,13.8,13.8
Luis Flores,23,0.483,0.5,1,4.8,2.2,0.2,0.7,florelu01,2005,1728,0,2004-05,2004-05,23-23,16,0,4.8,0.9,1.8,0.6,1.2,0.3,0.6,0.1,0.1,0.1,0.1,0.2,0.7,0.1,0,0.7,0.6,2.2,0.483,0.474,0.5,1,0.586,0.569,G,DENGSW,93,112,-0.1,0,-0.02,-2.1,-2.7,-4.8,0,10.1,1.5,3,2.2,24.5,1.3,0,26.9,23.5
Matt Freije,23,0.291,0.259,0.625,19.2,4,2.7,0.9,freijma01,2005,1984,-0.6,2004-05,2006-07,23-25,42,11,14,1.3,4.3,0.9,2.5,0.4,1.8,0.2,0.3,0.6,1.5,2,0.6,0.4,0.1,0.5,1.3,3.2,0.293,0.343,0.224,0.714,0.355,0.34,F,ATLNOH,81,109,-1,0.4,-0.047,-4.9,-1.1,-6,-0.6,4.6,4.7,12.8,8.6,7.7,1.5,0.4,9.7,16.3
Ben Gordon,21,0.411,0.405,0.863,24.4,15.1,2.6,2,gordobe01,2005,220,33.3,2004-05,2014-15,21-31,744,269,27.4,5.3,12.2,3.7,8.3,1.6,3.9,2.8,3.2,0.4,2,2.5,2.5,0.7,0.2,2.1,2.3,14.9,0.432,0.447,0.401,0.857,0.546,0.497,G,CHACHIDETORL,105,110,19.2,14.1,0.078,0.9,-1.2,-0.3,8.7,14.9,1.9,8.7,5.2,16.5,1.3,0.4,13.3,25.9
Devin Harris,21,0.429,0.336,0.757,15.4,5.7,1.3,2.2,harride01,2005,96,54.9,2004-05,2018-19,21-35,985,448,24.3,3.5,8.2,2.7,5.6,0.8,2.6,2.8,3.6,0.3,1.9,2.2,3.9,1,0.2,1.7,2.2,10.8,0.432,0.481,0.325,0.796,0.551,0.483,G,ATLDALDENNJNUTA,109,109,35.1,19.8,0.11,0.5,0,0.6,15.5,16,1.4,9,5.2,26.5,2.2,0.6,14.9,21.6
David Harrison,22,0.576,0,0.571,17.7,6.1,3.1,0.3,harrida01,2005,921,3.2,2004-05,2007-08,22-25,189,33,14.2,2,3.7,2,3.7,0,0,1.1,2,1,1.9,2.9,0.2,0.3,1,1.1,2.8,5,0.53,0.53,,0.525,0.543,0.53,C,IND,94,102,-1,4.2,0.057,-5.7,1.2,-4.4,-1.7,10.9,8,15.4,11.7,3,1.2,5.2,19.8,18.6
Dwight Howard,19,0.52,0,0.671,32.6,12,10,0.9,howardw01,2005,6,141.7,2004-05,2021-22,19-36,1242,1078,31.8,5.7,9.7,5.7,9.6,0,0.1,4.3,7.6,3.3,8.4,11.8,1.3,0.9,1.8,2.7,3.1,15.7,0.587,0.59,0.214,0.567,0.602,0.588,C,ATLCHOHOULALORLPHIWAS,111,100,65.6,76.2,0.172,0.9,1,1.9,39,21.3,12.2,29.6,21.1,7.3,1.4,4.4,17,22.3
Kris Humphries,19,0.404,0.333,0.436,13,4.1,2.9,0.6,humphkr01,2005,246,30.3,2004-05,2016-17,19-31,800,203,17.8,2.6,5.6,2.5,5.4,0.1,0.2,1.4,2,1.7,3.7,5.4,0.7,0.4,0.6,0.9,1.8,6.7,0.463,0.471,0.293,0.7,0.514,0.469,F-C,ATLBOSBRKDALNJNPHOTORUTAWAS,106,105,13.1,17.2,0.102,-1.1,-0.5,-1.7,1.2,15.4,11.2,24.3,17.6,6.5,1.2,2.5,11.7,18.9
Andre Iguodala,21,0.493,0.331,0.743,32.8,9,5.7,3,iguodan01,2005,18,100.4,2004-05,2022-23,21-39,1231,784,32.1,4.1,8.8,3.2,6.2,0.9,2.7,2.3,3.2,0.9,4,4.9,4.2,1.4,0.5,1.8,1.8,11.3,0.463,0.52,0.33,0.709,0.553,0.512,G-F,DENGSWMIAPHI,111,106,50.8,49.5,0.122,0.8,1.4,2.1,41.3,15.4,3.3,14.1,8.7,19.5,2.3,1.3,15.1,16.9
D.J. Mbenga,24,0.429,0,0.75,3.9,1,0.5,0,mbengdj01,2005,981,2.4,2004-05,2010-11,24-30,234,4,6.7,0.8,1.6,0.8,1.6,0,0,0.2,0.4,0.6,0.9,1.5,0.2,0.2,0.6,0.4,1.2,1.8,0.47,0.472,0,0.607,0.49,0.47,C,DALGSWLALNOH,97,102,-0.3,2.7,0.075,-5.2,1.6,-3.6,-0.7,10.8,9.6,16.2,12.9,3.8,1.2,6.9,17.1,14.7
Royal Ivey,23,0.429,0.333,0.701,13,3.5,1.4,1.7,iveyro01,2005,832,4.5,2004-05,2013-14,23-32,492,114,12.5,1.3,3.1,0.9,2.2,0.3,0.9,0.5,0.7,0.3,0.8,1.1,1,0.5,0.1,0.5,1.5,3.3,0.406,0.425,0.361,0.706,0.489,0.459,G,ATLMILOKCPHI,101,111,1.6,2.9,0.035,-3.6,-0.1,-3.8,-2.7,8.4,2.7,8,5.3,12.6,2,0.5,13.2,14.2
Luke Jackson,23,0.37,0.667,0.833,4.3,2.9,0.6,0.3,jackslu02,2005,1455,0.2,2004-05,2007-08,23-26,73,3,9.9,1.2,3.2,0.7,2,0.4,1.2,0.7,1,0.4,0.8,1.2,0.8,0.3,0,0.7,1,3.5,0.357,0.356,0.36,0.732,0.473,0.426,F,CLELACMIATOR,93,109,-0.4,0.6,0.01,-2.7,-0.9,-3.7,-0.3,9.3,4.4,10.3,7.3,13,1.8,0.3,15.5,20.3
Al Jefferson,20,0.528,0,0.63,14.8,6.7,4.4,0.3,jeffeal01,2005,56,71,2004-05,2017-18,20-33,915,651,28.7,6.7,13.5,6.7,13.4,0,0.1,2.2,3.1,2.2,6.2,8.4,1.5,0.7,1.2,1.3,2.6,15.7,0.499,0.501,0.121,0.711,0.528,0.499,C-F,BOSCHACHOINDMINUTA,108,105,37.4,33.6,0.13,1.5,-0.3,1.2,21.3,20.6,8.9,25.1,16.9,9.7,1.2,3.3,8.2,25.5
Horace Jenkins,30,0.333,0,0.923,6.9,2.8,0.6,0.6,jenkiho01,2005,1626,0,2004-05,2004-05,30-30,15,0,6.9,1,3,1,2.4,0,0.6,0.8,0.9,0.2,0.4,0.6,0.6,0.3,0.1,0.5,0.4,2.8,0.333,0.417,0,0.923,0.414,0.333,G,DET,89,103,-0.1,0.2,0.006,-4.9,0.2,-4.7,-0.1,10.2,3.4,6.7,5.1,15.2,2.6,0.7,12.1,26.1
Mark Jones,29,0.29,0,0.5,11.6,2.3,1.3,0.6,jonesma03,2005,1799,-0.1,2004-05,2004-05,29-29,10,0,11.6,0.9,3.1,0.9,2.7,0,0.4,0.5,1,0.6,0.7,1.3,0.6,0.5,0.2,0.3,1.6,2.3,0.29,0.333,0,0.5,0.325,0.29,G,ORL,81,109,-0.2,0.1,-0.033,-5.9,-1,-6.9,-0.1,4.4,5.9,6.7,6.3,7.5,2.2,1.2,7.8,14.5
Mario Kasun,24,0.48,0,0.558,7.9,2.6,2.8,0.2,kasunma01,2005,1186,0.8,2004-05,2005-06,24-25,73,0,7.8,1.1,2.3,1.1,2.3,0,0,0.6,0.9,1,1.5,2.6,0.2,0.1,0.2,0.6,2.1,2.7,0.467,0.47,0,0.636,0.505,0.467,C,ORL,100,105,0.2,0.6,0.069,-5.6,-1.4,-7,-0.7,10.8,15.8,22.4,19.1,3.1,0.9,2,17.3,18.8
