Player,Rook_Age,Rook_FG_Percent,Rook_3P_Percent,Rook_FT_Percent,Rook_MPG,Rook_PPG,Rook_RPG,Rook_APG,-9999,Rook_Year,WS_Rk,WS,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_Percent,2P_Percent,3P_Percent,FT_Percent,TS_Percent,eFG_Percent,Pos,Team,ORtg,DRtg,OWS,DWS,WS_Per_48,OBPM,DBPM,BPM,VORP,PER,ORB_Percent,DRB_Percent,TRB_Percent,AST_Percent,STL_Percent,BLK_Percent,TOV_Percent,USG_Percent
Paul Millsap,21,0.525,0.333,0.673,18,6.8,5.2,0.8,millspa01,2007,24,95.4,2006-07,2021-22,21-36,1085,746,28.1,5,10.3,4.5,8.8,0.5,1.5,2.8,3.9,2.2,4.9,7.1,2.2,1.2,1,1.7,3,13.4,0.489,0.513,0.341,0.736,0.559,0.513,F,ATLBRKDENPHIUTA,111,104,49.7,45.7,0.15,0.9,1,1.9,29.9,18.7,8.9,20,14.5,12.6,2.2,2.8,12.3,21.7
Randolph Morris,21,0.167,0,0.333,8.8,0.8,1.8,0.2,morrira01,2007,1766,-0.1,2006-07,2009-10,21-24,74,2,5.9,0.7,1.6,0.7,1.6,0,0,0.5,0.9,0.4,1,1.4,0.1,0.2,0.1,0.4,1.4,1.9,0.426,0.426,,0.545,0.463,0.426,C,ATLNYK,88,107,-0.5,0.5,-0.006,-8.1,-1.2,-9.3,-0.8,6.4,7,20.7,13.8,2.5,1.6,1.2,16.6,18.8
Adam Morrison,22,0.376,0.337,0.71,29.8,11.8,2.9,2.1,morriad01,2007,2010,-1.4,2006-07,2009-10,22-25,161,28,20.4,2.9,7.8,2.1,5.4,0.8,2.3,0.9,1.2,0.5,1.6,2.1,1.4,0.2,0.1,1.1,1.7,7.5,0.373,0.391,0.331,0.71,0.448,0.423,F,CHALAL,91,111,-3,1.6,-0.021,-3,-2,-5,-2.4,7.4,2.9,9.6,6.2,11.3,0.6,0.3,11.4,21.1
David Noel,22,0.367,0.321,0.86,11.6,2.7,1.8,1,noelda01,2007,1317,0.4,2006-07,2006-07,22-22,68,0,11.6,1,2.6,0.7,1.8,0.3,0.8,0.5,0.6,0.6,1.2,1.8,1,0.4,0.1,0.6,1.1,2.7,0.367,0.387,0.321,0.86,0.47,0.415,F,MIL,99,112,0.1,0.3,0.024,-2.2,-0.9,-3.1,-0.2,9,6.2,12.2,9.1,11.7,1.6,0.9,17,13.4
Steve Novak,23,0.36,0.333,1,5.5,1.5,0.7,0.2,novakst01,2007,479,14.5,2006-07,2016-17,23-33,467,6,12.1,1.6,3.7,0.4,0.8,1.2,2.9,0.2,0.2,0.1,1.1,1.3,0.3,0.2,0.1,0.2,0.8,4.7,0.437,0.463,0.43,0.877,0.616,0.605,F,DALHOULACMILNYKOKCSASTORUTA,122,110,11.1,3.4,0.123,1.8,-1,0.8,4,12.7,1.4,10.9,6,3.8,0.8,0.5,4.4,14.9
Patrick O'Bryant,20,0.313,0,0.647,7.4,1.9,1.3,0.6,obryapa01,2007,1266,0.5,2006-07,2009-10,20-23,90,3,5.8,0.9,1.8,0.9,1.7,0,0,0.3,0.5,0.4,1.1,1.4,0.3,0.2,0.4,0.5,1.4,2.1,0.494,0.503,0,0.583,0.513,0.494,C,BOSGSWTOR,93,103,-0.4,0.9,0.046,-6.3,1.8,-4.6,-0.3,11,6.9,20.8,13.9,7.1,1.7,5.8,18.8,19.1
Kevinn Pinkney,23,0.444,0.5,0.667,16.7,5.2,2.5,0.8,pinknke01,2007,1456,0.2,2006-07,2006-07,23-23,6,0,16.7,2,4.5,1.8,4.2,0.2,0.3,1,1.5,1.2,1.3,2.5,0.8,0.5,0.5,0.7,2,5.2,0.444,0.44,0.5,0.667,0.501,0.463,F,BOS,105,108,0.1,0.1,0.075,-2,-0.5,-2.5,0,11.6,8.2,9.8,9,8.3,1.6,2.3,11.4,15.8
Leon Powe,23,0.446,0,0.736,11.4,4.2,3.4,0.2,powele01,2007,546,12,2006-07,2010-11,23-27,239,19,13.9,2.1,4,2.1,4,0,0,2.1,3.1,1.6,2.2,3.8,0.3,0.3,0.3,0.8,2.1,6.2,0.515,0.517,0,0.682,0.581,0.515,F,BOSCLEMEM,115,103,6.8,5.2,0.174,-0.9,-0.7,-1.6,0.3,16.8,14.2,18.7,16.5,3.9,1.1,2,12.9,20.4
Roger Powell,24,0,0,1,4.3,0.7,1,0,powelro01,2007,1812,-0.1,2006-07,2006-07,24-24,3,0,4.3,0,1,0,0.7,0,0.3,0.7,0.7,1,0,1,0,0,0,1,0.7,0.7,0,0,0,1,0.258,0,F,UTA,56,115,-0.1,0,-0.327,-11,-7.9,-18.9,-0.1,-8.3,28.1,0,14,0,0,0,43.6,23.7
Chris Quinn,23,0.366,0.351,0.676,9.7,3.4,0.7,1.5,quinnch01,2007,781,5.3,2006-07,2012-13,23-29,241,26,13.7,1.6,4,0.9,2.2,0.7,1.8,0.7,0.9,0.1,1,1.1,1.9,0.4,0,0.6,1,4.5,0.399,0.416,0.377,0.809,0.521,0.483,G,CLEMIANJNSAS,109,111,3.3,2,0.077,-0.9,-0.6,-1.5,0.4,12.2,1.1,8.6,4.8,22.2,1.6,0.2,11.6,16.9
Allan Ray,22,0.386,0.414,0.764,15.1,6.2,1.5,0.9,rayal01,2007,1241,0.6,2006-07,2006-07,22-22,47,5,15.1,2.1,5.5,1.1,3,1,2.5,0.9,1.2,0.4,1.1,1.5,0.9,0.4,0.1,0.9,1.8,6.2,0.386,0.364,0.414,0.764,0.512,0.479,G,BOS,99,109,0.1,0.5,0.039,-1.5,-1.2,-2.7,-0.1,10,3,8.8,5.8,10.5,1.5,0.3,12.9,20.8
J.J. Redick,22,0.41,0.388,0.9,14.8,6,1.2,0.9,redicjj01,2007,72,63.7,2006-07,2020-21,22-36,940,488,25.5,4.3,9.5,2.2,4.5,2.1,5,2.2,2.5,0.2,1.8,2,2,0.4,0.1,1.1,1.5,12.8,0.447,0.482,0.415,0.892,0.602,0.555,G,DALLACMILNOPORLPHI,117,111,48.2,15.6,0.128,1.7,-1.1,0.6,16,14.9,0.8,7.9,4.4,12.3,0.9,0.3,9.4,20.4
Jeremy Richardson,22,0.5,0.667,0,3.3,1.3,0.3,0,richaje01,2007,1936,-0.3,2006-07,2008-09,22-24,45,1,5.4,0.7,2.2,0.4,1.3,0.3,0.9,0.1,0.2,0.1,0.5,0.6,0.1,0.1,0,0.2,0.5,1.9,0.333,0.3,0.385,0.625,0.419,0.409,G-F,ATLMEMORLPORSAS,82,110,-0.5,0.2,-0.054,-5.4,-2.5,-7.9,-0.4,4.5,1.4,10.1,5.8,3.2,0.9,0,8.9,21.1
Sergio Rodr?guez,20,0.423,0.282,0.808,12.9,3.7,1.4,3.3,rodrise01,2007,853,4.3,2006-07,2016-17,20-30,353,52,15,1.9,4.7,1.3,3,0.6,1.7,0.5,0.7,0.3,1.1,1.5,3.4,0.6,0,1.4,1.2,4.9,0.409,0.451,0.337,0.739,0.495,0.471,G,NYKPHIPORSAC,100,111,0.6,3.7,0.039,-0.8,-1.1,-2,0.1,12.4,2.7,9,5.8,35.4,2.1,0.2,21.8,19.4
Rajon Rondo,20,0.418,0.207,0.647,23.5,6.4,3.7,3.8,rondora01,2007,77,61.8,2006-07,2021-22,20-35,957,733,29.9,4.1,8.9,3.6,7.5,0.5,1.4,1.2,1.9,1,3.6,4.5,7.9,1.6,0.1,2.7,2.1,9.8,0.456,0.482,0.324,0.611,0.501,0.483,G,ATLBOSCHICLEDALLACLALNOPSAC,104,104,19.9,41.9,0.104,0.3,1,1.2,23.2,15.8,3.8,13.5,8.7,40.6,2.7,0.4,21.7,18.9
Brandon Roy,22,0.456,0.377,0.838,35.4,16.8,4.4,4,roybr01,2007,194,37.4,2006-07,2012-13,22-28,326,300,35.5,6.8,14.9,5.8,12,1,2.8,4.2,5.2,1.1,3.2,4.3,4.7,1,0.2,1.8,1.9,18.8,0.459,0.485,0.348,0.8,0.548,0.492,G,MINPOR,115,110,28.6,8.8,0.155,3.7,-0.1,3.6,16.3,20,3.6,11.1,7.3,23.9,1.6,0.5,9.6,25.3
Thabo Sefolosha,22,0.426,0.357,0.511,12.2,3.6,2.2,0.8,sefolth01,2007,175,39.3,2006-07,2019-20,22-35,869,475,21.9,2.2,4.9,1.6,3.2,0.6,1.7,0.7,1,0.7,3,3.7,1.4,1.1,0.4,0.9,1.6,5.7,0.449,0.502,0.349,0.732,0.536,0.509,G-F,ATLCHIHOUOKCUTA,106,103,10.8,28.5,0.099,-1.4,2,0.6,12.4,11.4,3.8,15.2,9.6,9.2,2.5,1.5,14,12.7
Mouhamed Sene,20,0.367,0,0.586,6,1.9,1.6,0,senesa01,2007,1359,0.3,2006-07,2008-09,20-22,47,3,5.5,0.7,1.7,0.7,1.7,0,0,0.7,1.2,0.6,1,1.6,0,0.1,0.5,0.3,0.9,2.2,0.427,0.427,,0.589,0.483,0.427,C-F,NYKOKCSEA,98,106,0,0.3,0.052,-3.9,-1.2,-5.1,-0.2,13.5,12.4,21.3,16.8,0.6,0.8,6.3,12.3,20.9
Cedric Simmons,21,0.417,0,0.485,12.4,2.9,2.5,0.3,simmoce01,2007,1516,0.1,2006-07,2008-09,21-23,75,4,9.4,0.9,2.3,0.9,2.3,0,0,0.3,0.8,0.7,1.1,1.9,0.2,0.1,0.4,0.4,1.2,2.2,0.409,0.409,,0.39,0.414,0.409,F,CHICLENOKSAC,88,107,-0.6,0.7,0.005,-4.8,-0.2,-5,-0.5,7.3,8.8,14.4,11.5,3.1,0.8,3.6,13.2,14.6
Uro? Slokar,23,0.538,0.5,0.692,3.6,1.9,0.7,0.1,slokaur01,2007,1527,0.1,2006-07,2006-07,23-23,20,0,3.6,0.7,1.3,0.7,1.2,0.1,0.1,0.5,0.7,0.4,0.4,0.7,0.1,0.1,0.1,0.5,0.6,1.9,0.538,0.542,0.5,0.692,0.599,0.558,F,TOR,98,108,0,0.1,0.042,-4,-1.6,-5.6,-0.1,13.9,11.3,11.5,11.4,2.4,0.7,2.2,22.1,26.2
Craig Smith,23,0.531,0,0.624,18.7,7.4,5.1,0.6,smithcr01,2007,450,16,2006-07,2011-12,23-28,403,49,16.9,3,5.5,3,5.4,0,0.1,1.6,2.4,1.3,2.5,3.9,0.8,0.5,0.2,1,2.4,7.6,0.553,0.56,0.037,0.661,0.585,0.553,F,LACMINPOR,112,109,10.7,5.3,0.113,-0.7,-0.5,-1.2,1.4,16.2,9.3,17.8,13.5,8.2,1.4,1,13.6,20.2
Steven Smith,23,0.25,0,0.5,3.5,0.6,0.8,0,smithst03,2007,1815,-0.1,2006-07,2006-07,23-23,8,0,3.5,0.3,1,0.3,1,0,0,0.1,0.3,0.1,0.6,0.8,0,0.1,0,0.3,0.5,0.6,0.25,0.25,,0.5,0.282,0.25,F,PHI,55,105,-0.1,0,-0.154,-11.3,-3.6,-14.9,-0.1,-1.8,4.3,21.4,12.9,0,1.9,0,18.4,18
Vassilis Spanoulis,24,0.319,0.172,0.81,8.8,2.7,0.7,0.9,spanova01,2007,1771,-0.1,2006-07,2006-07,24-24,31,0,8.8,0.7,2.3,0.6,1.4,0.2,0.9,1.1,1.4,0.2,0.5,0.7,0.9,0.2,0,0.9,1.1,2.7,0.319,0.419,0.172,0.81,0.47,0.354,G,HOU,86,104,-0.4,0.4,-0.01,-6,0.1,-5.9,-0.3,5.4,2.1,7.1,4.7,15.9,1.4,0.3,24.3,20.5
Tyrus Thomas,20,0.475,0,0.606,13.4,5.2,3.7,0.6,thomaty01,2007,520,13,2006-07,2014-15,20-28,402,129,19.7,2.9,6.5,2.8,6.4,0,0.1,2,2.7,1.4,3.5,4.8,0.9,0.8,1.3,1.3,2.5,7.7,0.438,0.44,0.235,0.732,0.5,0.439,F,CHACHIMEM,98,102,-0.5,13.5,0.078,-2.8,1.6,-1.2,1.7,14.8,7.9,20.3,14.1,7.2,2.1,5.1,14.5,20.6
P.J. Tucker,21,0.5,0,0.571,4.9,1.8,1.4,0.2,tuckepj01,2007,159,42.2,2006-07,2022-23,21-37,841,645,28.7,2.5,5.9,1.5,3.1,1,2.8,0.9,1.1,1.5,4,5.5,1.4,1.1,0.3,1,2.5,6.8,0.425,0.479,0.366,0.75,0.539,0.512,F,HOUMIAMILPHIPHOTOR,111,109,18.1,24.1,0.084,-1.6,0.7,-0.9,6.7,10,5.7,15.6,10.6,6.9,1.9,0.9,13,11
Marcus Vinicius,22,0.467,0.429,0.714,7.9,1.7,0.8,0.4,vincima01,2007,1421,0.2,2006-07,2007-08,22-23,26,0,6.6,0.6,1.3,0.3,0.6,0.3,0.7,0.4,0.7,0.1,0.6,0.7,0.3,0.1,0.1,0.3,0.5,1.9,0.457,0.5,0.421,0.556,0.582,0.571,F,NOHNOK,103,109,0.1,0.1,0.056,-2.6,-0.4,-3,0,8.8,2,11.1,6.4,6,0.9,0.9,17.3,13.9
James White,24,0.439,0.286,0.8,22.8,8.3,3.3,0.8,whiteja02,2007,1205,0.8,2006-07,2012-13,24-30,67,18,8.7,1.1,2.4,0.8,1.7,0.3,0.7,0.3,0.5,0.1,0.9,1,0.5,0.3,0.1,0.4,0.8,2.7,0.438,0.482,0.34,0.676,0.514,0.491,G-F,HOUNYKSAS,101,106,0.2,0.6,0.062,-3.1,-0.1,-3.2,-0.2,9.9,1.6,12.3,6.9,9.5,1.6,0.8,12.4,16.3
Justin Williams,22,0.614,0,0.365,12.8,5,4.4,0.1,williju01,2007,1131,1.1,2006-07,2007-08,22-23,49,1,9.3,1.4,2.4,1.4,2.4,0,0,0.6,1.8,1.4,1.9,3.3,0,0.2,0.4,0.4,1.4,3.4,0.573,0.578,0,0.348,0.528,0.573,F,HOUSAC,109,105,0.5,0.6,0.116,-1.2,-1.8,-3.1,-0.1,16.2,18.1,24.2,21.1,0.8,1.1,3.5,10.8,17.3
Marcus Williams,21,0.395,0.282,0.847,16.6,6.8,2.1,3.3,willima03,2007,1738,0,2006-07,2009-10,21-24,203,10,15.2,2.1,5.5,1.5,3.5,0.6,1.9,0.7,1,0.3,1.5,1.8,2.8,0.4,0,1.5,1,5.6,0.386,0.421,0.321,0.767,0.473,0.443,G,GSWMEMNJN,94,110,-2,2,-0.001,-1.5,-1.7,-3.3,-1,11,2.1,11.5,6.8,30.4,1.5,0.2,19.8,21.9
Marcus Williams,21,0.395,0.282,0.847,16.6,6.8,2.1,3.3,willima03,2007,1738,0,2006-07,2009-10,21-24,203,10,15.2,2.1,5.5,1.5,3.5,0.6,1.9,0.7,1,0.3,1.5,1.8,2.8,0.4,0,1.5,1,5.6,0.386,0.421,0.321,0.767,0.473,0.443,G,GSWMEMNJN,78,106,-0.1,0,-0.084,-3.4,-2,-5.4,0,10.4,11.8,23.8,17.8,13.6,1.3,1.9,0,26.2
Marcus Williams,21,0.395,0.282,0.847,16.6,6.8,2.1,3.3,willima03,2007,1787,-0.1,2007-08,2008-09,21-22,13,0,3,0.5,1.7,0.5,1.7,0,0,0,0,0.3,0.6,0.9,0.2,0.1,0.1,0,0.3,1.1,0.318,0.318,,,0.318,0.318,F,LACSAS,94,110,-2,2,-0.001,-1.5,-1.7,-3.3,-1,11,2.1,11.5,6.8,30.4,1.5,0.2,19.8,21.9
Marcus Williams,21,0.395,0.282,0.847,16.6,6.8,2.1,3.3,willima03,2007,1787,-0.1,2007-08,2008-09,21-22,13,0,3,0.5,1.7,0.5,1.7,0,0,0,0,0.3,0.6,0.9,0.2,0.1,0.1,0,0.3,1.1,0.318,0.318,,,0.318,0.318,F,LACSAS,78,106,-0.1,0,-0.084,-3.4,-2,-5.4,0,10.4,11.8,23.8,17.8,13.6,1.3,1.9,0,26.2
Shawne Williams,20,0.469,0.365,0.55,12.1,3.9,1.8,0.5,willish03,2007,707,6.7,2006-07,2014-15,20-28,314,58,17.1,2.1,5.1,1.2,2.5,0.9,2.6,0.6,0.8,0.8,2.2,3,0.7,0.4,0.5,0.6,2.1,5.6,0.403,0.469,0.339,0.755,0.513,0.489,F,DALDETINDLALMIANJNNYK,103,109,2.6,4.1,0.06,-1.7,-0.5,-2.2,-0.3,10.5,5.2,14.8,9.9,6.4,1.2,2.2,10.2,16
Shelden Williams,23,0.455,0.5,0.764,18.7,5.5,5.4,0.5,willish02,2007,599,9.9,2006-07,2011-12,23-28,361,104,15.5,1.6,3.5,1.6,3.5,0,0,1.2,1.6,1.5,2.9,4.3,0.5,0.5,0.5,0.8,2,4.5,0.462,0.464,0.222,0.74,0.527,0.463,F,ATLBOSDENMINNJNNYKSAC,105,106,3.6,6.3,0.085,-2.6,-0.4,-3,-1.5,12.5,11.1,21.9,16.5,4.6,1.7,2.3,16.5,15
Arron Afflalo,22,0.411,0.208,0.782,12.9,3.7,1.8,0.7,afflaar01,2008,219,33.5,2007-08,2017-18,22-32,762,537,27.3,3.9,8.7,2.8,5.8,1.1,2.9,1.8,2.2,0.4,2.4,2.9,1.8,0.4,0.2,1.1,1.9,10.8,0.45,0.481,0.386,0.825,0.556,0.514,G-F,DENDETNYKORLPORSAC,109,112,23.9,9.6,0.077,-0.5,-1,-1.5,2.4,11.9,1.9,10,5.9,10.6,0.8,0.5,10.4,17.8
Blake Ahearn,23,0.263,0.294,0.968,14.8,5.8,1.6,1.6,ahearbl01,2008,1884,-0.2,2007-08,2011-12,23-27,19,0,11.9,1.1,4.1,0.4,1.6,0.7,2.5,1.7,1.7,0.1,1.1,1.2,1.2,0.4,0,1.2,1.4,4.6,0.273,0.233,0.298,0.97,0.481,0.364,G,MIASASUTA,89,111,-0.3,0.1,-0.034,-4.6,-1.8,-6.4,-0.2,7.2,0.5,11.2,5.8,15.5,1.7,0,19.4,23.6
Lance Allred,26,0.25,0,0.5,3.3,1,0.3,0,allrela01,2008,1712,0,2007-08,2007-08,26-26,3,0,3.3,0.3,1.3,0.3,1.3,0,0,0.3,0.7,0,0.3,0.3,0,0,0,0,0.3,1,0.25,0.25,,0.5,0.307,0.25,C,CLE,72,112,0,0,-0.125,-8.1,-3,-11.1,0,-1,0,11.8,5.7,0,0,0,0,22.1
Morris Almond,22,0.267,0.25,0.667,4.3,1.4,0.2,0.3,almonmo01,2008,1584,0,2007-08,2011-12,22-26,38,1,9.5,1.1,3,0.9,2.3,0.2,0.6,0.7,0.9,0.3,0.9,1.2,0.3,0.3,0.1,0.5,1.1,3.1,0.381,0.404,0.292,0.743,0.463,0.412,G,UTAWAS,91,109,-0.3,0.3,0.005,-5.3,-0.8,-6.1,-0.4,7,3.3,11.8,7.5,4.9,1.7,0.9,12.9,18.3
Joel Anthony,25,0.467,0,0.592,20.8,3.5,3.9,0.1,anthojo01,2008,469,15.3,2007-08,2016-17,25-34,490,110,14.4,0.8,1.6,0.8,1.6,0,0,0.5,0.8,1.1,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2,0.513,0.513,,0.662,0.558,0.513,C,BOSDETMIASAS,112,103,5.1,10.2,0.104,-3.3,1.5,-1.8,0.4,9.7,9.6,13,11.3,2,1,6.1,19.2,7.8
Marco Belinelli,21,0.387,0.39,0.778,7.3,2.9,0.4,0.5,belinma01,2008,242,30.5,2007-08,2019-20,21-33,860,219,22.7,3.4,8.1,2,4.3,1.4,3.8,1.5,1.7,0.2,1.8,2.1,1.7,0.6,0.1,1,1.4,9.7,0.424,0.465,0.376,0.846,0.55,0.511,G-F,ATLCHICHOGSWNOHPHISACSASTOR,107,111,18,12.5,0.075,-0.5,-0.8,-1.3,3.3,12.2,1.1,9,5.1,11.3,1.3,0.3,10,19.4
Corey Brewer,21,0.374,0.194,0.8,22.8,5.8,3.7,1.4,breweco01,2008,344,22.5,2007-08,2019-20,21-33,819,310,22.9,3.3,7.7,2.7,5.5,0.6,2.2,1.5,2.1,0.7,2,2.8,1.5,1.2,0.3,1.2,2.2,8.7,0.425,0.48,0.284,0.713,0.502,0.465,F-G,DALDENHOULALMINOKCPHISAC,101,108,5.6,16.9,0.058,-2.2,0.7,-1.6,2,11.8,3.6,10.1,6.8,10.2,2.7,0.9,11.8,18.5
Aaron Brooks,23,0.413,0.33,0.857,11.9,5.2,1.1,1.7,brookaa01,2008,393,19.2,2007-08,2017-18,23-33,645,183,20.8,3.5,8.5,2.2,5.1,1.3,3.4,1.4,1.7,0.4,1.3,1.7,3,0.6,0.1,1.6,1.9,9.7,0.413,0.442,0.37,0.837,0.525,0.488,G,CHIDENHOUINDMINPHOSAC,104,110,10.6,8.7,0.069,0.1,-1.2,-1.2,2.7,13.3,2.1,6.8,4.5,23.6,1.4,0.5,14.4,23.1
Wilson Chandler,20,0.438,0.3,0.63,19.6,7.3,3.6,0.9,chandwi01,2008,256,29,2007-08,2019-20,20-32,676,483,30,4.8,10.9,3.5,7.1,1.3,3.8,1.6,2,1.1,4.2,5.3,1.8,0.7,0.6,1.4,2.7,12.5,0.443,0.497,0.341,0.77,0.53,0.502,F,BRKDENLACNYKPHI,106,111,15.2,13.7,0.069,-0.7,-0.7,-1.3,3.5,12.8,4.2,15.4,9.7,9.2,1.2,1.6,10.4,19.1
Mike Conley,20,0.428,0.33,0.732,26.1,9.4,2.6,4.2,conlemi01,2008,33,90.7,2007-08,2022-23,20-35,1012,975,31.9,5.2,11.8,3.6,7.7,1.6,4.1,2.7,3.3,0.5,2.5,3,5.7,1.4,0.2,2,2,14.6,0.438,0.469,0.381,0.82,0.551,0.504,G,MEMMINUTA,113,109,58.3,32.4,0.135,2,0.3,2.4,35.6,17.4,1.7,9.1,5.4,28.8,2.3,0.6,12.9,21.5
Daequan Cook,20,0.381,0.332,0.825,24.4,8.8,3,1.3,cookda02,2008,804,4.9,2007-08,2012-13,20-25,328,49,18.3,2.3,6.3,1,2.5,1.3,3.8,0.5,0.6,0.2,1.9,2.1,0.7,0.4,0.1,0.5,1.5,6.4,0.369,0.383,0.359,0.813,0.494,0.476,G,CHIHOUMIAOKC,100,110,0.6,4.3,0.039,-1.5,-1.2,-2.7,-1.1,9.1,1.5,12.2,6.9,6.6,1.1,0.6,7.6,18
Javaris Crittenton,20,0.421,0.27,0.692,13.6,5.6,2.2,1,crittja01,2008,1526,0.1,2007-08,2008-09,20-21,113,10,16.4,2,4.6,1.9,4.1,0.1,0.5,1.1,1.7,0.7,1.7,2.4,1.8,0.5,0.1,1.2,1.3,5.3,0.442,0.466,0.231,0.638,0.492,0.454,G,LALMEMWAS,96,114,-0.6,0.7,0.002,-2.8,-1.4,-4.2,-1,10.6,5.2,12.1,8.6,16.8,1.7,0.3,18.5,18
Jermareo Davidson,23,0.408,0,0.643,8.5,3.2,1.6,0.3,davidje01,2008,1647,0,2007-08,2008-09,23-24,52,2,8.3,1.3,3.1,1.3,3.1,0,0,0.5,0.9,0.6,1.3,1.8,0.3,0.2,0.3,0.4,1.1,3.1,0.425,0.425,,0.578,0.451,0.425,F,CHAGSW,93,109,-0.4,0.4,0,-4.2,-1,-5.2,-0.3,10.5,8.1,17,12.5,5.5,1.1,3.1,10.9,21
Glen Davis,22,0.484,0,0.66,13.6,4.5,3,0.4,davisgl01,2008,406,18.6,2007-08,2014-15,22-29,514,121,21.1,3.1,7,3.1,6.9,0,0.1,1.7,2.4,1.4,2.9,4.4,0.9,0.7,0.3,1,2.4,8,0.447,0.451,0.182,0.7,0.494,0.448,F-C,BOSLACORL,100,103,3,15.5,0.082,-2.7,0.1,-2.6,-1.7,12.4,8.2,15.9,12.1,6.9,1.7,1.3,11.3,20.1
Guillermo D?az,22,0.25,0,0.6,3,0.8,0.3,0.2,diazgu01,2008,1628,0,2007-08,2007-08,22-22,6,0,3,0.2,0.7,0.2,0.5,0,0.2,0.5,0.8,0.3,0,0.3,0.2,0,0,0,0,0.8,0.25,0.333,0,0.6,0.403,0.25,G,LAC,108,118,0,0,0.033,-0.2,-2.7,-2.9,0,9.9,12.7,0,6.4,8.5,0,0,0,15.9
Jared Dudley,22,0.468,0.22,0.737,19,5.8,3.9,1.1,dudleja01,2008,152,43,2007-08,2020-21,22-35,904,286,22.3,2.7,5.7,1.7,3.3,1,2.5,1,1.4,0.9,2.3,3.2,1.5,0.8,0.2,0.8,1.8,7.3,0.463,0.517,0.393,0.732,0.576,0.548,F-G,BRKCHALACLALMILPHOWAS,114,109,27.8,15.2,0.103,-0.1,0.3,0.2,11,12.5,4.6,11.4,8,10.2,1.8,0.6,11.7,14.4
Kevin Durant,19,0.43,0.288,0.873,34.6,20.3,4.4,2.4,duranke01,2008,3,161.5,2007-08,2022-23,19-34,981,978,36.7,9.3,18.7,7.4,13.8,1.9,4.9,6.7,7.6,0.7,6.4,7.1,4.3,1.1,1.1,3.2,1.9,27.3,0.499,0.54,0.384,0.886,0.619,0.549,F-G,BRKGSWOKCPHOSEA,118,106,115.6,45.9,0.215,6,0.8,6.8,80,25.3,2.2,18.7,10.8,20.6,1.5,2.4,12.6,30.3
Nick Fazekas,22,0.561,0,0.682,10.3,4.1,3.4,0.4,fazekni01,2008,1181,0.8,2007-08,2007-08,22-22,26,0,10.3,1.8,3.2,1.8,3.1,0,0.1,0.6,0.8,1.3,2.1,3.4,0.4,0.3,0.4,0.5,1,4.1,0.561,0.575,0,0.682,0.584,0.561,F,DALLAC,115,105,0.5,0.4,0.148,0.9,-0.4,0.5,0.2,19.6,14.5,23.7,19.1,7.5,1.6,3.1,12.4,18
Kyrylo Fesenko,21,0.375,0,0.5,7.8,1.6,2.8,0.2,fesenky01,2008,1168,0.9,2007-08,2011-12,21-25,135,7,8.2,0.9,1.9,0.9,1.9,0,0,0.4,1,0.7,1.3,2,0.3,0.1,0.4,0.5,1.7,2.3,0.496,0.5,0,0.41,0.49,0.496,C,INDUTA,95,107,-0.4,1.3,0.038,-5.6,-0.1,-5.7,-1.1,8.5,10.6,18.5,14.5,5.3,0.9,3.8,17.5,15.4
Thomas Gardner,22,0.391,0.25,0,11.3,5.3,1,0.3,gardnth01,2008,1955,-0.4,2007-08,2008-09,22-23,20,0,7.2,0.9,3,0.6,1.2,0.4,1.8,0.1,0.3,0.2,0.4,0.6,0.2,0.2,0.1,0.4,0.4,2.3,0.305,0.458,0.2,0.333,0.365,0.364,G,ATLCHI,73,111,-0.5,0.1,-0.123,-6.1,-2,-8.1,-0.2,2.4,2.3,6.5,4.4,3.4,1.5,0.5,10.2,22
Marcin Gortat,23,0.471,0,0.667,6.8,3,2.7,0.3,gortama01,2008,80,61.3,2007-08,2018-19,23-34,806,587,25.7,4.2,7.7,4.2,7.6,0,0,1.4,2.1,2.2,5.8,7.9,1.1,0.5,1.1,1.2,2.2,9.9,0.551,0.553,0.15,0.68,0.575,0.552,C-F,LACORLPHOWAS,113,104,32.1,29.2,0.142,0,0.4,0.4,12.7,17.1,9.7,25.4,17.5,6.9,0.9,3.3,12.2,17
Aaron Gray,23,0.505,0,0.566,10,4.3,2.8,0.7,grayaa01,2008,736,6.2,2007-08,2013-14,23-29,318,87,12.1,1.4,2.7,1.4,2.7,0,0,0.6,1,1.4,2.4,3.7,0.7,0.3,0.3,0.8,2.1,3.4,0.509,0.511,0,0.562,0.528,0.509,C,CHINOHSACTOR,102,105,1.4,4.8,0.077,-3.5,-0.1,-3.6,-1.5,11.5,12.9,23.1,18,8.4,1.3,1.8,20.8,15.1
